	live.qual	h.length	skin.qual	skin.length.male	skin.length.female	litter.size	bw_f	bw_m	rfi1_m	rfi2_m	rfi1_f	rfi2_f
live.qual	1	0.86	0.74	-0.15	0.12	-0.53	0.18	-0.13	0	0	0	0
h.length	0.86	1	0.55	0	0	0	0	0	0	0	0	0
skin.qual	0.74	0.55	1	-0.55	-0.42	-0.26	0	-0.52	0	0	0	0
skin.length.male	-0.15	0	-0.55	1	0.89	-0.66	0.7	0.79	0	0	0	0
skin.length.female	0.12	0	-0.42	0.89	1	-0.66	0.7	0.77	0	0	0	0
litter.size	-0.53	0	-0.26	-0.66	-0.66	1	-0.58	-0.58	0	0	0	0
bw_f	0.18	0	0	0.7	0.7	-0.58	1	0.83	0	0	0	0
bw_m	-0.13	0	-0.52	0.79	0.77	-0.58	0.83	1	0	0	0	0
rfi1_m	0	0	0	0	0	0	0	0	1	0.72890976	0.501710475	0.644894692
rfi2_m	0	0	0	0	0	0	0	0	0.72890976	1	0.65829119	0.85066612
rfi1_f	0	0	0	0	0	0	0	0	0.501710475	0.65829119	1	0.633143637
rfi2_f	0	0	0	0	0	0	0	0	0.644894692	0.85066612	0.633143637	1
